Molecule_id,Canonical_SMILES,Source
CHEMBL4160206,O=c1c2ccccc2oc2cc(OCCO[N+](=O)[O-])cc(O)c12,S1
CHEMBL4160207,COCC[N+]1=C(/C=C/c2c[nH]c3ccccc23)N(Cc2cccc(OC)c2)C2C(=O)c3ccccc3C(=O)C21.[Br-],S1
CHEMBL4160208,Cc1ccc([C@H](C)N(CCCCN)C[C@H]2Cc3ccccc3CN2)nc1,S1
CHEMBL4160209,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c2c1C(O)CC2)C(F)F,S1
CHEMBL4160309,COc1cc(/C=C/C(=O)c2ccc(Br)cc2)ccc1O,S1
CHEMBL4160310,COc1ccc(C(=O)CCC2C=CN(Cc3cccc(Cl)c3)C=C2C#N)cc1OC,S1
CHEMBL4160311,O=C(c1ccc(-c2n[nH]c3c2CN(S(=O)(=O)c2c(Cl)cccc2Cl)CC3)cc1)N1CCN(CCO)CC1,S1
CHEMBL4160312,CN1c2ccncc2Sc2ncccc21,S1
CHEMBL4287533,COC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C[C@]4(O)c1cn(CCCc2ccccc2)nn1,S1
CHEMBL4287534,COc1ccc2[nH]cc(C(c3c[nH]c4ccc(OC)cc34)P(=O)(OCc3ccccc3)OCc3ccccc3)c2c1,S1
CHEMBL4287535,CC1(C)O[C@H]2[C@@H](O1)[C@@H](CNC1=CC(=O)c3ccccc3C1=O)O[C@@H]1OC(C)(C)O[C@@H]12,S1
CHEMBL4287536,COc1cc2nc(N3CC(C)CC(C)C3)nc(Nc3ccccc3)c2cc1OC,S1
CHEMBL4287537,CC(C)=CCC1=C2O[C@H](C(C)(C)O)CC[C@]3(C)[C@@H](CC=C(C)C)C[C@](C)(C1=O)C(=O)[C@]23C(=O)c1ccccc1,S1
CHEMBL4287627,CCCCCCCCc1cn(C/C=C(\C)CCC=C(C)C)nn1,S1
CHEMBL4287628,COC(=O)/C=C1\C(=O)C=C2C3CC4CC(CCC4(C)N21)C3(C)NC(C)=O,S1
CHEMBL4287629,O=C(O)CCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,S1
CHEMBL4287630,COc1nc(Nc2nc(N)ncc2Cc2cc(OC)c(OC)c(OC)c2)nc(OC(=O)C(N)C(C)C)n1,S1
CHEMBL4287631,Cc1noc(C)c1C(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C)c23)CC1,S1
CHEMBL4287632,CCCOc1ccc(-c2cc(COc3ccc(F)c(C(N)=O)c3F)no2)cc1,S1
CHEMBL4287633,NC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O.O=S(=O)(O)O,S1
CHEMBL4287716,CS(=O)(=O)c1ccc(-n2cc(/C=C/C(=O)NCc3ccncc3)c(-c3cccnc3)n2)cc1,S1
CHEMBL4287717,CC1(C)CC(=O)C(=CNc2ccc(Cl)cc2)C(=O)C1,S1
CHEMBL4287718,COc1ccc(CCC(=O)NC(=O)Nc2ccc(Cl)cc2)cc1,S1
CHEMBL4287719,CCCCCCOCc1cn([C@H]2C(=O)N[C@@H]3Cc4ccc(c(Cl)c4)Oc4cc5cc(c4O)Oc4ccc(cc4Cl)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]4NC(=O)[C@H](NC(O)[C@@H]5NC(=O)[C@@H](NC3=O)c3cc(O)cc(c3)Oc3cc2ccc3O)c2ccc(O)c(c2)-c2c(O)cc(O)cc2[C@H](C(=O)O)NC4=O)nn1,S1
CHEMBL4287720,O=C(c1cccc([N+](=O)[O-])c1)N1CCN(Cc2c(-c3ccc(Cl)cc3)nc3ccc(-c4ccccc4)cn23)CC1,S1
CHEMBL4287721,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(-c4ccc(CO)cc4)n(C)nc3c2=O)CC1)c1ccccc1,S1
